Index,Gender,Place,Location,Date,Type,Label,Descripcion,Descripcion2
Usuario1221,Male,Islas Marietas,Occidente,diciembre de 2013,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario870,Male,Islas Marietas,Estados Unidos,diciembre de 2014,Alone,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario616,Female,Islas Marietas,Centro,julio de 2014,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario704,Female,Islas Marietas,Centro,enero de 2015,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1079,Male,Islas Marietas,Noreste,enero de 2016,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario492,Male,Islas Marietas,Centro,marzo de 2016,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario765,Male,Islas Marietas,Estados Unidos,mayo de 2015,Business,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1178,Male,Islas Marietas,Noroeste,abril de 2016,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario669,Female,Islas Marietas,Centro,octubre de 2016,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario849,Male,Islas Marietas,Estados Unidos,junio de 2015,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario544,Male,Islas Marietas,Centro,marzo de 2016,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario591,Female,Islas Marietas,Centro,mayo de 2016,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario647,Female,Islas Marietas,Centro,marzo de 2014,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario821,Male,Islas Marietas,Estados Unidos,abril de 2015,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario624,Female,Islas Marietas,Centro,marzo de 2017,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1117,Male,Islas Marietas,Noreste,septiembre de 2016,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario489,Male,Islas Marietas,Centro,julio de 2015,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1098,Male,Islas Marietas,Noreste,julio de 2014,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1339,Female,Islas Marietas,Occidente,abril de 2017,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1238,Male,Islas Marietas,Occidente,septiembre de 2015,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1450,Male,Islas Marietas,Sureste,octubre de 2016,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1356,Female,Islas Marietas,Occidente,agosto de 2017,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1161,Female,Islas Marietas,Noreste,agosto de 2016,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1174,Male,Islas Marietas,Noroeste,agosto de 2017,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1162,Female,Islas Marietas,Noreste,junio de 2015,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1092,Male,Islas Marietas,Noreste,febrero de 2017,Alone,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario632,Female,Islas Marietas,Centro,noviembre de 2014,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1142,Female,Islas Marietas,Noreste,mayo de 2017,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario622,Female,Islas Marietas,Centro,enero de 2016,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1260,Male,Islas Marietas,Occidente,mayo de 2014,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1348,Female,Islas Marietas,Occidente,julio de 2014,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1152,Female,Islas Marietas,Noreste,julio de 2014,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1416,Female,Islas Marietas,Panama,julio de 2014,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1101,Male,Islas Marietas,Noreste,marzo de 2016,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario665,Female,Islas Marietas,Centro,julio de 2018,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario575,Male,Islas Marietas,Centro,enero de 2016,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario676,Female,Islas Marietas,Centro,junio de 2015,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1296,Male,Islas Marietas,Occidente,diciembre de 2014,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1383,Female,Islas Marietas,Occidente,julio de 2014,Alone,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1121,Female,Islas Marietas,Noreste,septiembre de 2015,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1411,Female,Islas Marietas,Occidente,mayo de 2016,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario406,Female,Islas Marietas,Canada,febrero de 2016,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1391,Female,Islas Marietas,Occidente,diciembre de 2014,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario971,Female,Islas Marietas,Estados Unidos,enero de 2016,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario691,Female,Islas Marietas,Centro,julio de 2015,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario522,Male,Islas Marietas,Centro,agosto de 2016,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1379,Female,Islas Marietas,Occidente,diciembre de 2015,Alone,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1275,Male,Islas Marietas,Occidente,febrero de 2018,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario478,Male,Islas Marietas,Centro,diciembre de 2015,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario551,Male,Islas Marietas,Centro,octubre de 2014,Business,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1086,Male,Islas Marietas,Noreste,octubre de 2014,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario650,Female,Islas Marietas,Centro,agosto de 2018,Alone,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1326,Female,Islas Marietas,Occidente,marzo de 2013,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1472,Female,Islas Marietas,Sureste,enero de 2015,Business,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1051,Female,Islas Marietas,Estados Unidos,febrero de 2015,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario415,Female,Islas Marietas,Canada,marzo de 2015,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario292,Male,Islas Marietas,Argentina,enero de 2017,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
